class_index,review_title,review_text
1,the film that lower the bar on bad film make,thi ha to be the worst film i have ever seen i bought thi movi becaus of some of the comment post here do not wast your time or money on thi dismal movi i made myself finish watch it becaus i paid for it that and the fact that i didn t think it could get ani wors it doe if i ever see a bad film now i rate it compar to thi no film come even close thi say in my hous now is well at least it wasn t as bad as and then came summer
1,ined,i onli gave thi 1 star becaus amazon make you give at least one star do not buy thi thi stuff is disgust serious you shouldn t sell it i have had ton of brand of soy and whey protein and thi is noth like them it tast like chalk and doe not dissolv at all
1,excit but,okay thi film it s excit but let anal the fact the plot is dumb and so are the charact the anim is horribl when i saw thi cartton and movi i ask my self where is alln that life that anim give to anim well here there is noth of that the charact are veri cooki cutter like thi film fail even more than the first pokemon movi and by the way who is say that pokemon it s extinct it s not and i can proob it if you anal www imdb com on pokemon 2000 and digimon the movi
1,bewar,buyer should bewar of thi video sinc it is of veri poor qualiti be taken from a less than perfect 16mm print we are accustom to much better print these day and thi one is be sold under fals pretenc
1,ticket to ride a beatl tribut,if you are a fan of the origin french swingl singer from the 60 s bewar of thi thi is a new group of highli polish singer ye i am sure they are talent singer it s just not the same as the origin ss the current version of ss use zoo zoo zoo esquivel type sing which is ok for esquivel fan but ha no place in the swingl singer sound they should have realli chang the name and clearli date the packag thi cd cover make it look like lost record archiv when it absolut is not not recommend unless you like glee perfect pitch and all of that modern accapella stuff that is popular these day
1,video qualiti is terribl,i didn t make veri far into thi film either the encod is absolut off or it wa film with a cheap dv camera there s some strang video de interlac combin go on that creat a horribl jerki blur around ani movement the review who said it render the movi unwatch is right what look to be an interest movi wa complet ruin by shoddi imag qualiti
1,dawg from thieveland,i m a real rap critic and a dj and i got to honestli say thi album wa doubl booti it ha one true song u understand and the rest wa wack peopl onli request one song and i gotta say hi last album wa much betta i wouldn t advis anyon to rate thi one higher than it actual should be rate
1,brilliant,ha normal i disagre with peopl whose creativ outlet lie mere in parodi other better author work but thi book ha an excus in that it is mere exemplifi how stupid dune wa in the first place in fact thi a better book by far and is perfectli hilari some joke may escap those ignor of the sourc materi but there are laugh to be had and plenti of them
1,pay money for noth,sinc with the built in browser i can view the full thinkgeek websit for free if not as well format i think i ll pass on pay money for a sampl would subscrib if it wa free and might even make thinkgeek some extra money from sale but it look like they don t want the buis that bad
1,great vacuum unless you have fine dust,the motor on my vacuum die after half a year due to the buildup of fine dust how fine is fine dyson doe not say henc if you think you may have fine dust in your home get a cheaper vacuum or be prepar for the possibl of costli repair to be fair when the vacuum doe work the suction is great as advertis it s just not appropri for all environ
1,known problem with thi unit,don t buy thi unit there is a problem with it over heat and caus a loud pope sound after a coupl hour of use i talk with panason about thi and they will not admit to the problem howev you can find sever other peopl that have had the same problem on the net when ask for replac unit i wa told that i would have to take it to my local repair center to have a tech look at the unit thi unit is still under warrenti and it is go to take sever day for the unit to be repair no sound or dvd while thi take place i will never buy anoth panason unit again to bad becaus thi wa the best unit i found on the market guess next time i ll pay the extra money and get a soni at least they care about their custom
1,leaki faulti filter,i bought thi unit one month ago and it alreadi is useless the faucet adaptor they use is a cheap shallow plastic one and it is alreadi strip from minim use the vertic filter is obvious too heavi for the adaptor it sit to the side of the faucet creat pressur on the adaptor the adaptor withstood veri littl no abus just water pressur and minim movement within a few week small leak would develop around the faucet and it would randomli pop off spray water everywher unless they fix the faucet adaptor do not wast your money on thi unit unless you feel like buy anoth one in a month or two
1,unbeleiv that patricia cornwel wrote thi terribl book,as a faith patricia cornwel reader i look forward to thi author s uniqu stori tell capablil in hornet s nest i knew go into the book that thi wa not a kate scarpetta novel but i look forward to cornwel s abil to develop new charact in a differ environ thi book wa a total disappoint from plot to charact develop it wa hard to figur out what exactli the stori wa or what the point of the book wa i for one do not believ patricia cornwel wrote thi book if she did she temporarili lost her uniqu talent for auhor some of the best novel written by a contemporari femal author
1,weak,who thought of thi mess kevin bacon is one of the most overr actor ever thi doe no justic to basketbal or to the motherland a complet mess
1,thi product is bad don t loos your money,thi product is bad as you can see in the photo that i share without the telephoto the imag is clear but with telephoto the imag appear out of focu or no such way near that the other imag say the product is not so good i lost my money becaus opteka doesn t answer to my email is the worst buy that i made reali you get that you pay noth
1,disfuncton disfunct,as a fan if creativ movi i wa realli hope for a gem here what i discov wa a co depend romanc stori that made me cring and soon enough wish it wa over i want my time back
1,veri disappoint,thi peopl advertis the new version of the book and when i got the book it wa and old version of the book it wa not a good one i bought thi book with thi peopl onli becaus they show the pictur of the new version in the futur i ll make sure dnt buy anyth from thi peopl becaus they will advertis someth realli good and you will get someth realli bad
1,disappoint from babi einstein,these block were a big disppoint here as note by other the sensor are veri particular and it is sometim difficult for the parent to make the proper connect to elicit the music from the block let alon my 14 month old or 4 year old definit someth that need to go back to the draw board for redesign so go buy some other block
1,sorri but,honour enemi set the bar realli high for thi seri too bad book 2 isn t up to the challeng
1,phoney camera for photo illiter n00b,thi is one of the most worthless camera nikon ha ever made it ha onli 3 focu point it ha no in bodi focu motor and the imag sensor is the same one in the d50 and d70 s which are far superior camera with 5 focu point and in bodi focu motor do not buy thi worthless piec of junk or the d60 which is virtual a d40 x by the way i ve use thi camera extens for street and event photographi and it produc blurri out of focu pictur 50 of the time worthless it also highlight how ken rockwel should not be taken all that serious thi camera is obvious old now but i still use my d70 and d50 and shoot raw and the d60 collect dust the d50 onli take 2 gb card ha a slower buffer for raw and is 2 5 fp over the 3fp d70 and cf card but it s better than the d40 60 the onli except might be the final version of the d40 the d3000 which ha 11 focu point
1,wow bill wow,i myself am a conserv and an o reilli fan but thi book just blow bill quit write and just stick to out shout the guest on your show
1,muy mala,pel cula con mala actuacion malo efecto visual p simo gui n no la recomiendo no vale la pena ni verla meno comprarla
1,wasn t too good,it wasn t good at all to me i bought the wrong c d and got the origin motion pictur instead of the motion pictur and the entir c d sound like the x file theme song it wa kinda wierd to me unless you need that kind of music for someth i wouldn t reccomend it at all
1,lori wick,i can t stand lori wick book i use to love them until i realiz that real peopl are noth like her charact all the women are gorgeou all the men are handsom care and wonder there are no real men or anybodi like that her book are just fairi tale that would never come true in real life and i don t plan on wast ani more of my time read that garbag
1,lot s of bad advic,thi book is full of bad advic such as use the slide stop as a slide releas the slide stop is a small piec of metal that can break and it doesn t caus the slide to fulli retract which mean the gun may not go into batteri bottom line you realli need to know your stuff if you are go to read thi book so you can sort of the good from the bad not for beginn
1,not impress with the 3102,i bought thi tool as an upgrad to my hf die grinder i ve own it 8 month and onli use it occasion the motor now feel like crap and wont hardli turn the head came loos and is now out of adjust there are no paper on set it and sinc i didn t regist it in the first 6 month i can t get it warrant now did i mention it wa made in china a waist of 120 it may of had more power than my hf knock off but they have at least been depend
1,not veri help,i bought thi book as well as the powerscor logic reason bibl the logic reason bibl wa excel and extrem help on the lsat i took i got most of the logic reason question correct howev i found that the game book did not nearli prepar me enough for the lsat when i wa in the test i could not figur out ani of the game and guess at all 22 question had i done better on thi section i would have score realli well on the test i would suggest either supplement thi book with anoth book or research and purchas an entir differ book
1,so disappoint,everyon who like the first violent femm album will be veri disappoint when listen to 3 thi album total miss the energi of the first album thi also lead to the assumpt that the review are a bit silli becaus even word album get 4 or 5 star from enthousiast fan thi would make me think that everi album is the best ever made thi violent femm album certainli is not
1,wast of money,present to be clever and witti the publish is onli half right thi is a half wit book not worthi of 8 85 plu ship bob tri to captur the key west mystiqu turn out to be the veri type real kwpeopl tri to avoid don t wast your money on 80 page of nonsens
1,poorli edit edit,culliti s expost of x ray diffract is excel but the third edit as note by other review is miss all chapter specif refer if you re interest in thi titl tri to find a copi of the second edit
1,cabl didn t work,i bought thi cabl to use with my new roku and after hour of troubl shoot with them we discov that it wa the cabl that wa faulti i replac the cabl and everyth work perfectli
1,it die prematur,my tanita die prematur and the compani said it wa excess humid the scale wa in the bathroom as most scale are i m veri disappoint that tanita didn t design their scale to work in an environ in which most scale are place i replac it with anoth brand i will never buy tanita again
1,thi book is not clearli written,thi book jump around critic materi and content that requir the reader to open the complet lesson provid by the author to see what code content is miss the worst part of thi is that unless you are an experienc programm you will not be abl to understand what is happen in fact you will probabl need to purchas anoth book to understand what is actual go on these comment are direct primarili at the flash relat lesson
1,veri low qualiti headphon,the headphon are of veri poor qualiti they stop work after 10 minut of usag wouldn t recommend to buy thi product to anyon
1,well it s not as badli written as most of avakian s book,thi is an interest autobiographi of the revolutionari communist parti usa s self exil chairman bob avakian the person stuff is actual veri interest i enjoy read about hi person life befor hi rise to far left celebrityhood the polit stuff is interest too unlik most of avakian s offici polit write he actual explain how the rcp came to hold variou polit view still thi is veri much an offici histori so a lot is left out also it appear that the rcp actual edit the word of their great chairman which is the onli reason thi book is readabl the rest of avakian s bodi of work is long wind and bore i wouldn t go out of my way to recommend thi book but if you must read one book by bob avakian let it be thi one
1,not for everyon,i have use hydroxycut hardcor in 2008 i lost a lot a weight and wa realli rip i have gain a lot a weight sinc then as well as muscl i m die to get back to what i wa like in 08 so i decid to tri the pro seri i follow direct exactli and for two week and did not loos ani weight i wa on a diet as well exercis after two week i got a lot of headach and one time in the gym my heart wa pound realli hard dure a light workout and i had to leav the gym i wa stun becaus when i took hydroxycut in the past i felt great whatev they chang in the pro seri do not go well with my bodi so thi is a one star for me
1,disgrac review,you should not publish the two exist review written by the daughter of the author and probabl anoth rel for the sole effect of give a five star rate
1,thi movi stink,i wa on the edg of my seat watch thi movi then i fell over asleep let me tell you someth there is absolut posit definit no point to thi dumb movi if it wasn t for the don henley song thi would be total useless how i long for the vinni barbarino day after see travolta embarrass himself in michael how about a sequel michael ii thi time there s a point
1,not what i order,sadli i bought thi even after read anoth review say they had receiv a differ thermomet i figur it wa a one time mistak not so i got thi for my mom for her birthday it s color and bright perfect for her backyard the thermomet i receiv had bird but the color are brown and beig and complet mute it s differ bird than on the one i order and not nearli as fun do not order from these peopl if you want to receiv the thermomet you see abov
1,don t know never got,the box wa empti not what i paid for so i return it how could anyon send an empti box that s wrong bad busi
1,poor execut,order thi product becaus my cardiologist said i need an adult larg bp cuff i wa sent an adult regular bp cuff they accept my return properli but i never had ani oppotun to speak to anyon about thi if there is a phone number somewher it s pretti well buri not accept when order medic suppli or equip i end up go to a local medic supli store to get the right thing thi wa the first time i wa di satisfi with my amazon experi
1,avoida,she can t sing she can t act she can t danc all she can do is market herself and talk about her art someth genuin artist almost never do i will throw her thi one tini crumb she should wear the brown contact more often
1,terribl,thi monitor is terribl i wa not sure if i want to buy anoth one sinc our old one work okay but it suck up 9 volt like you wouldn t believ i final decid to buy anoth and bought thi one it s go back tomorrow and i will buy more 9 volt the static is unreal we can t even hear the babi
1,dissapoint,dissapointd no cover case it would have been nice wen show price of movi would have been notifyd no cover case thn would hv made decis to purchac diffrnt movi
1,not worth the money,at first glanc it seem like the author wrote thi book within one afternoon too mani blank page not worth the money and defin too elementari even for the beginn i finish read thi book in about an hour sorri but i suggest that peopl avoid thi book at all cost
1,do not buy,thi necklac is not silver at all i don t even believ it is gold my girlfriend went in the shower with it onc and it turn thi nasti gold purpl color it is pretti on screen and it wa the day we got it then it didn t even arriv on time it is not worth 10 buck such a piec of junk i wish i could give it no star the way it clasp is a pain to the gem are so small they often get caught in it
1,speechless,okay so here s the best review you can get thi movi is not worth your money and even if you re see it at a friend it s not worth your time there you have it
1,wast of time and money,the item is bulkier than it look doe not work and bring the name black and decker to a new low i wast my time look for the item and wait for it to arriv then it doe not work
1,patsi wa a murder,i have no doubt in my mind that thi woman snap and clobber her daughter upsid the head with one of her mani trophi the girl peed her bed nightli and i think patsi snap but whi doe a child pee their bed sometim a medic condit sometim becaus of abus she dress her daughter up like a littl prostitut and practic hand her over to her husband to appeas hi sexual appetit while she is go through cancer treatment i think patsi got veri jealou and snap
1,don t wast your money,if you have true add you may never get around read a book with 250 page peopl with add have short attent span mostli not capabl of sit down and read long book if you have add the chanc are you will buy thi book read a few page then leav it on the bookshelf
1,gross skip thi one,ok i love kelley armstrong i love all her book i read them as soon as they come out she s amaz thi book suck though the content wa just realli much more gruesom than her other book and that is say a lot i also don t appreci child molest in my romanc novel it just turn the stomach i read thi book one time then put it on th shelf i read her other book 6 or 7 time i am never go to be desper enough to read thi one again serious you could skip it and not miss much and be free of some aw mental imag fair warn
1,stay away,what a lemon the first few time i use thi machin i love it then the tank start leak then the spring fell out then the motor went 2 day after the warranti expir but hoover wa kind enough to fix it for free then life wa good for a few month then the leak got so bad i final call hoover and they sent a free tank i guess the problem is veri common then the motor blew up again the onli good thing about thi machin is it abil to suck the water out of your carpet when it work i went out and bought a bissel proheat 2x and am much happier with it
1,blah,what a wast of money thi wa not the direct i want my career to go what a wast of money ha
1,do not buy thi edger attach a wast of money,i receiv it and i ground a cut edg on the blade then i start edg and i found that the ryobi engin wa bog down by the work of the edger i kept the throttl wide open as i edg but the edger could not cut veri well i actual twist off the upper shaft in less than 10 minut of edg the edger slow down the driven rpm s but the engin speed wa up so the ryobi is great for a string trimmer or a blower but not for use with the edger
1,veri disappoint,i order thi book becaus it ha been describ as the best ethnograph work in exist for the samoan matai system the book wa describ as in veri good condit it came with doodl sloppi green highlight ink pen scribbl thi is an abus book in addit the yellow cover they display is the origin book and is the one i thought i wa get what i got wa a copi which mean the photo are terribl if thi provid consid thi to be veri good i know i ll never use them again
1,whoa amazingli bad,i got through 5 minut and had to turn it off just realli crummi comedi she forc explet and sensat languag about anatomi to cover up her complet lack of comed talent isn t the whole world tire of peni joke and the word vagina it s like a perpetu re run thi video might be free but unless you live under a rock you won t be abl to afford thi travesti what junk
1,begin to realli hate thi thing aaaaaaaaaahhhhhhhhh,i bought thi thing a few week ago i thought it wa a blast until i threw it in the fire i thought thi thing should be test it broke almost atomat im realli asham becaus i thought thi thing wa durabl but you prove me wrong all i can say is dont make anoth one and go back and sit in your corner love alway a hate custom
1,no no not more of thi alien nonsens,when i saw thi on tv a few year ago i thought the film wa pretti good when i saw it again on tape i knew the thing had to be fake i m give the content of thi thing a lone star but for fake edit and hoax viewer thi deserv 5 star for sure whoever put thi thing togeth should be employ by hollywood or some spi agenc good on ya mate
1,ratchet swivel belt holster for motorola v505 v551 v600,it took me all of 2 month to break thi replac i need 2 year to destroy the origin motorola or at t
1,a veri bad topolog book,when a book is translat it is suppos to be in english thi book is in topolog as a languag of it s own for me with a librari and long histori of read topolog book it is understand the author is recogn as a great mathematician but i think he should have had hi maiden aunt read hi proof for the book he write badli of topolog and hi refer aren t anywher near clear enough i suppos it is that i found that hi treatment of the tetrahedron and project plane realli don t work well when translat to number
1,the worst book ever writen,i think thi book is o k becaus uncl arvi wa a ghost he had hi own langauig and he could fli ilik how denni got to dig up a garden paint a pictur if i were uncl arvi i would kick peopl in the face becaus they cant see me my favorit charact wa billi baker becaus he broke two window with rock the problem in thi stori wa that uncl arvi wa ask denni some stuff but denni could understand in the stori if i were a ghost i would eat the chocol instead of smash them the end of the book wa bore becaus the illustr gave it away i think it would be hard to write thi book becaus you would have to make up your won languag the writer must have a good imagin i recommend thi book for young peopl becaus it is realli fake and that it is bore but littl kid have good mental pictur
1,can t set it up,spent about an hour on step 1 simpli place the handl into the two hole on either arm simpl enough or not right side got stuck about half way spent 10 minut tri to get it out final did let tri again get stuck at same spot put some wb40 on it tri to get it back out 15 minut later it come out after pull it like i wa tri to hold onto someon hover over a fire pit put a ton of wb40 on it let just do thi simpl step on more time sure it will work nope stuck again i then promptli curs for about 30 minut stare at it and now i m go to see how i can return it or just talk pheonix s ear off until they somehow help me don t buy thi product or hope they send you one that you can put togeth without lose your mind thank you veri littl
1,poor custom servic,the pepper grinder stop work after a few month use when i final got around to contact the compani i wa inform without a sale receipt they will not servic it i have the mill and origin packag but the limit warranti is onli valid with a receipt
1,5 star for music 1 star for copi protect,thi cd and all publish by edel sinc summer of 2002 use copi protect it cannot be play on a comput thi cd is be return to amazon as defect shame on you for sell it in the first place
1,christian propaganda,buyer bewar noth on the cover reveal that thi is born again christian propaganda the hero an indiana jone who stop to pray the bad guy actual is an anti god and not just a human with a sheet i wa shock when my daughter brought it home it is a veri creepi book
1,don t buy it,the bag i receiv is half the size of the one shown in the photo the handl on mine will not fit over the shoulder of a woman the size of the one in the photo it s not even eleg but it s too small for a use casual daytim bag it s inconveni if you expect to shoulder your bag to have your hand free for shop hold your children s hand etc my advic is to skip it i m return mine
1,2 dog in a row for patterson,i am so disappoint in thi new alex cross novel so simpl and the end wa wors than the client and that s tough to top
1,rbf is just go through the motion,i ve been a big fan of reel big fish for a few year now i enjoy everyth up to thi record includ cheer up which i guess make me one of the few and thi one ha about three song i genuin listen to over and over again it s more of the cynic angri lyric that realli don t entertain me at all if rbf hate be a band as much as they say then perhap they should end it now if they releas more stuff of thi calib then it s just go to get wors
1,if you must read thi tri borrow it first,i borrow thi from a friend and had to put it down after struggl through about 300 page i believ thi book is badli written but i can see how it could appeal to the young adult male reader who like the jordan esk type epic stuff i must say that i m veri glad i borrow thi rather than buy it if you realli feel that you must give thi book a go then borrow it from a friend or librari to see if it s your cup of tea if you want someth that s a littl more matur and well written have a look at georg r r martin s song of ice and fire seri it also ha it share of violenc and sex but it s in context and the stori is wonder written
1,print on demand,bewar of item mark authent when realli it s a pod print on demand poster good graphic but overpr as pod
1,just compar the introduct,i have never read neruda but recevi thi as a gift i sat down to read the introduct by the translat and wa confus and dismay from the begin the languag wa incomprehens and seemingli purpos complex then i read the intro by neruda which wa a thing of beauti i read the english translat of the first coupl of poem and wa again dismay then i start compar the spanish and decid that there were mani phrase which seem to be odd translat at first i thought that i wa just unaccustom to translat poetri but the more i read the more sure i wa that the translat were off i too wa surpris that despit my limit spanish and lack of prior exposur to neruda i could immedi tell that the translat were bizarr i describ thi to my famili and final start check other peopl s respons on line and i am reliev to find that i wa not alon i am look for a differ translat
1,veri unhappi,the onli thing my 6 year old daughter ask for thi christma is amaz allysen what a rip took a long time to get her out of the box put all the batteri in then turn on the doll and her mouth and eye move but there is no voic tri call the 800 number and got put on hold then told after five minut of wait for the busi agent that they are close now i have a veri disappoint child and a disgruntl mother who will now have to fight the crowd again to return thi doll stick with doll that don t talk the one we use to play with as kid
1,child abus,thi ha got to be the worst book i ve ever read the author s main thesi is you have to total control children and beat them into submiss on p 173 174 the author claim some children requir enough stroke to receiv stripe or even welt on p 177 he recommend whip babi start when they can crawl with a balloon stick willow or peach tree branch blackboard pointer or 1 8 dowel rod say what no decent person think thi is christian behavior beat up babi with stick until they re injur i have a far better idea of god and jesu than the sadist who wrote thi child abus manual and i won t have to worri about be arrest for how i treat my child either tri christlik parent biblic parent or jesu on parent for legal christlik idea on rais children
1,extrem disappoint,how come we can t rate an item with 0 star thi album is so disappoint and i love her debut i wish i preview it beforehand i hope she save her money caus she ha lost alot of fan after thi disast
1,soni turntabl,the turntabl wa defect didn t work it wouldn t turn at all i call the seller j r music world they said to call soni i call soni they final agre to replac it i pack it up sent it to soni a coupl of week ago am still wait for the replac or even to receiv ani acknowleg from them
1,thi cd is horribl,i like live legend but thi album deserv to be thrown into the void it annoy and bore the product is lame and the lyric just fell off on thi one
1,noth new noth profound don t wast your money,i bought the video the recept is not good and the video doe not contain anyth new we all know to practic psychic abil by guess what is on the back of card that contain differ shape develop your psychic abil includ more than guess until you are right it is about clear balanc and strengthen your intent in the spiritu realm
1,the wallcrawl crawl up my wall,i truli believ that thi naff sequel tri to be annoy and repuls the camera angl would make spidey spit out hi web in discust the gameplay would be great if itad a total differ plot all togeth and didn t invol spiderman at all thi is truli a triumph in the 1 star section but next time make it an 18 so i won t have to endur the bore piec of crap that it is
1,not impress,look good but it doesn t fli anywher near as well as it look a shame as expect were high avoid
1,you have got to be kid me,i cannot believ that gener book of memphi tennesse actual charg peopl for such trashi print the s charact is replac with an f throughout the entir book so christ is spell chrift i am veri dissatisfi with thi product and would not even give it 1 star if thi reveiw allow it it is a shame that the publish ruin such a wonder work by matthew mead i feel rip off don t buy thi product
1,not what i expect,thi game is a complet disappoint from the other mech game the new mechlab take away a player creativ by restrict the weapon a mech can carri the control are complet hideou the onli thing about thi game that catch my eye is the graphic if you are a return mechwarrior look for anoth great game then i don t recommend thi one microsoft ha taken a great line of game and complet screw it up
1,terribl,i wa led to believ that the product wa larger it wa a veri small product and veri cheezi needless to say i am veri disappoint
1,fake,i don t know a prada from a piranha but my girlfriend certainli doe i bought thi bag for her as a surpris present and although she appreci the gestur she ha inform me thi bag is most certainli not a prada what a wast of money
1,crack in half,i use thi stone 3 time halfway through my third use i heard a tremend snap sound when i went to take my loaf of bread out of the oven the stone wa complet broken in two like a ying yan not worth the money even if it s onli 15
1,truli not for beginn,look insid thi book it is chock full of complex comput jargon poorli organ book
1,disgust,i am a black woman and i have to say thi is the most offens crap i ve ever seen in my life i didn t even see all of the movi i couldn t sit through it too mani bad word and no intellig dumb dumb bumb what a wast of film the movi is not just humili to black peopl but to white peopl and practic everyon in the human race the writer and director should be asham of thi filth don t wast your time or your money on a film that is not even good enough for your garbag filthi
